PK,AssessmentID,Audio Assessment,Video Assessment,Text Assessment,Assignments,Date,Time
1,A001,85,78,92,75,9/1/2023,10:00 AM
2,A002,90,82,88,80,9/1/2023,11:00 AM
3,A003,75,85,80,70,9/2/2023,10:30 AM
4,A004,60,70,75,65,9/2/2023,1:00 PM
5,A005,95,88,90,95,9/3/2023,9:45 AM
6,A006,80,92,85,80,9/3/2023,12:15 PM
7,A007,70,75,78,65,9/4/2023,2:00 PM
8,A008,88,90,95,85,9/4/2023,10:00 AM
9,A009,78,80,82,75,9/5/2023,11:30 AM
10,A010,82,76,84,70,9/5/2023,1:30 PM
11,A011,92,89,90,88,9/6/2023,9:15 AM
12,A012,87,80,76,80,9/6/2023,2:30 PM
13,A013,65,70,72,60,9/7/2023,11:00 AM
14,A014,80,85,89,78,9/7/2023,1:00 PM
15,A015,90,92,91,90,9/8/2023,9:00 AM
16,A016,75,78,82,75,9/8/2023,12:45 PM
17,A017,70,80,74,70,9/9/2023,10:30 AM
18,A018,88,86,90,88,9/9/2023,1:15 PM
19,A019,95,94,96,90,9/10/2023,9:30 AM
20,A020,62,68,70,65,9/10/2023,11:00 AM
21,A021,76,80,85,78,9/11/2023,1:30 PM
22,A022,84,87,80,82,9/11/2023,3:00 PM
23,A023,89,91,92,88,9/12/2023,10:00 AM
24,A024,70,73,77,68,9/12/2023,12:15 PM
25,A025,80,82,81,76,9/13/2023,9:45 AM
26,A026,90,95,89,85,9/13/2023,1:00 PM
27,A027,78,81,83,70,9/14/2023,10:30 AM
28,A028,85,84,87,80,9/14/2023,12:00 PM
29,A029,95,90,92,90,9/15/2023,9:30 AM
30,A030,67,73,75,60,9/15/2023,1:00 PM
31,A031,88,89,94,85,9/16/2023,10:00 AM
32,A032,92,91,96,90,9/16/2023,11:30 AM
33,A033,73,70,72,65,9/17/2023,1:00 PM
34,A034,80,85,88,80,9/17/2023,3:00 PM
35,A035,86,92,90,88,9/18/2023,9:15 AM
36,A036,74,76,80,70,9/18/2023,12:30 PM
37,A037,91,88,93,85,9/19/2023,10:00 AM
38,A038,87,85,86,82,9/19/2023,1:30 PM
39,A039,76,79,77,70,9/20/2023,9:45 AM
40,A040,89,90,88,85,9/20/2023,2:00 PM
41,A041,80,81,84,75,9/21/2023,10:15 AM
42,A042,91,93,90,88,9/21/2023,1:45 PM
43,A043,75,77,74,70,9/22/2023,9:30 AM
44,A044,86,82,89,80,9/22/2023,12:00 PM
45,A045,70,72,78,65,9/23/2023,10:45 AM
46,A046,92,95,91,90,9/23/2023,2:15 PM
47,A047,84,88,86,80,9/24/2023,9:00 AM
48,A048,76,79,82,75,9/24/2023,1:30 PM
49,A049,88,87,94,85,9/25/2023,10:00 AM
50,A050,90,92,90,90,9/25/2023,11:00 AM
51,A051,79,80,83,75,9/26/2023,1:15 PM
52,A052,88,86,87,80,9/26/2023,9:30 AM
53,A053,95,92,90,95,9/27/2023,10:00 AM
54,A054,70,78,75,68,9/27/2023,12:30 PM
55,A055,82,84,88,80,9/28/2023,9:45 AM
56,A056,90,85,90,85,9/28/2023,1:00 PM
57,A057,76,77,79,70,9/29/2023,10:15 AM
58,A058,89,90,92,80,9/29/2023,2:00 PM
59,A059,72,74,76,60,9/30/2023,10:30 AM
60,A060,88,91,89,90,9/30/2023,1:15 PM
61,A061,95,89,90,95,10/1/2023,11:00 AM
62,A062,80,82,81,78,10/1/2023,2:45 PM
63,A063,70,75,76,65,10/2/2023,9:30 AM
64,A064,84,86,88,80,10/2/2023,12:00 PM
65,A065,90,91,90,88,10/3/2023,10:00 AM
66,A066,78,79,77,70,10/3/2023,1:30 PM
67,A067,85,84,86,80,10/4/2023,10:15 AM
68,A068,91,93,92,90,10/4/2023,2:00 PM
69,A069,74,76,78,70,10/5/2023,9:45 AM
70,A070,80,82,84,75,10/5/2023,12:30 PM
71,A071,90,89,91,88,10/6/2023,10:00 AM
72,A072,88,91,89,85,10/6/2023,1:00 PM
73,A073,75,78,76,70,10/7/2023,9:30 AM
74,A074,89,84,82,80,10/7/2023,3:00 PM
75,A075,95,92,90,95,10/8/2023,11:15 AM
76,A076,77,80,83,75,10/8/2023,1:45 PM
77,A077,88,87,89,82,10/9/2023,10:30 AM
78,A078,91,93,92,90,10/9/2023,12:15 PM
79,A079,70,73,76,68,10/10/2023,9:00 AM
80,A080,84,85,88,80,10/10/2023,1:00 PM
81,A081,90,90,91,88,10/11/2023,10:00 AM
82,A082,75,76,78,70,10/11/2023,1:30 PM
83,A083,88,89,86,82,10/12/2023,10:15 AM
84,A084,90,92,90,85,10/12/2023,2:00 PM
85,A085,67,70,72,65,10/13/2023,9:45 AM
86,A086,85,87,88,80,10/13/2023,12:30 PM
87,A087,91,89,90,90,10/14/2023,11:00 AM
88,A088,78,80,82,75,10/14/2023,1:15 PM
89,A089,80,81,83,70,10/15/2023,10:30 AM
90,A090,84,86,88,80,10/15/2023,1:00 PM
91,A091,92,90,91,85,10/16/2023,10:15 AM
92,A092,76,78,79,70,10/16/2023,1:45 PM
93,A093,85,84,87,80,10/17/2023,10:00 AM
94,A094,88,86,90,85,10/17/2023,2:00 PM
95,A095,70,75,76,60,10/18/2023,9:30 AM
96,A096,90,92,89,90,10/18/2023,1:15 PM
97,A097,84,88,86,80,10/19/2023,10:30 AM
98,A098,72,73,75,65,10/19/2023,12:00 PM
99,A099,95,94,90,95,10/20/2023,9:00 AM
100,A100,89,87,92,85,10/20/2023,1:00 PM
